fold,train_start,train_end,validation_start,validation_end,naive_mae,naive_rmse,linear_mae,linear_rmse
214,2010-03-26,2026-05-13,2026-05-14,2026-05-22,147.42857142857142,161.48595693036063,240.37301687223993,270.9575966328997
215,2010-03-26,2026-05-22,2026-05-26,2026-06-03,345.0,386.14560540219617,361.27377919864153,413.2500728397469
216,2010-03-26,2026-06-03,2026-06-04,2026-06-17,187.71428571428572,212.760092928296,133.4062432785952,168.35211529815635
217,2010-03-26,2026-06-17,2026-06-18,2026-06-26,167.0,194.60619576100711,176.7535020277159,214.04639642254554
218,2010-03-26,2026-06-26,2026-06-29,2026-07-07,273.14285714285717,302.91064217497734,208.68356335230914,231.54682132499616
219,2010-03-26,2026-07-07,2026-07-08,2026-07-16,208.85714285714286,216.04893625552256,291.21919020491316,311.6917875124287
220,2010-03-26,2026-07-16,2026-07-17,2026-07-27,117.85714285714286,167.08637629339245,132.2035255253625,199.84562355825892
221,2010-03-26,2026-07-27,2026-07-28,2026-08-05,280.2857142857143,313.43124103564224,298.4376376749775,328.8979412745268
222,2010-03-26,2026-08-05,2026-08-06,2026-08-14,173.42857142857142,200.50222656405305,195.69691214152044,222.3586038664387
223,2010-03-26,2026-08-14,2026-08-17,2026-08-25,434.85714285714283,465.8546677114778,415.3094710879258,434.208062011616
